skill	layer	user_entry	is_workflow_owner	execution_role	status	skill_version	interface_version	scope_tags	calls	depends_on_tools	kb_touch	tool_touch	gate_touch	notes	skill_local_tools
eda-infra-maintainer	utility	0	1	owner	active	1.3.0	1.0.0	infra_governance;knowledge_tool_skill_maintenance;guard_audit;script_pattern_governance	eda-knowledge-gate-maintainer,eda-script-pattern-curator	infra_stack_guard,common_skill_system_audit_py,tool_catalog,common_unified_kb_query_py	1	1	1	Maintain and evolve agent/knowledge/tool/skill infrastructure with auditable guardrails, including skill reference-topology governance and script-pattern governance handoff when reusable coding lessons should be captured	skills/eda-infra-maintainer/references/scripts/scripts__common__infra_stack_guard.py,skills/eda-infra-maintainer/references/scripts/scripts__common__skill_system_audit.py,skills/eda-infra-maintainer/references/scripts/scripts__common__tool_catalog.py,skills/eda-infra-maintainer/references/scripts/scripts__common__unified_kb_query.py
control-knowledge-explorer	control	0	1	owner	active	1.1.0	1.0.0	knowledge_exploration;evidence_gap_mapping;paper_queue	eda-paper-fetch,eda-pdf-local-summary	paper_kb_index,common_unified_kb_query_py	1	1	0	Map local knowledge gaps and drive targeted literature retrieval/parsing	skills/control-knowledge-explorer/references/scripts/scripts__common__paper_kb_index.py,skills/control-knowledge-explorer/references/scripts/scripts__common__unified_kb_query.py
eda-knowledge-gate-maintainer	utility	0	1	owner	active	1.0.0	1.0.0	knowledge_gate;maintenance_log;tool_reuse_check		common_knowledge_gate_sh,tool_catalog	1	1	1	Utility behavior; direct user invocation discouraged	skills/eda-knowledge-gate-maintainer/references/scripts/scripts__common__knowledge_gate.sh,skills/eda-knowledge-gate-maintainer/references/scripts/scripts__common__tool_catalog.py
workflow-scoped-execution	orchestrator	0	1	orchestrator	active	1.4.0	1.0.0	gated_execution;artifact_validation;experience_extraction_handoff	bspdn-goal-driver,workflow-research-chain,control-knowledge-explorer,eda-idea-debate-lab,eda-hypothesis-experiment-designer,eda-method-implementer,eda-infra-maintainer,control-preflight-reflect,control-postrun-retro,eda-knowledge-gate-maintainer,eda-experiment-phenomenology-analyst,bscost-net,bscost-theory-opt,delay-model-gate-evaluator,gt3-backside-route-policy,eda-stage-checkpoint-golden,eda-paper-fetch,eda-pdf-local-summary	common_knowledge_gate_sh,tool_catalog,infra_stack_guard	1	1	1	Primary execution orchestrator; routing ownership removed and execution detail kept in references, with explicit handoff to horizontal experiment-phenomenology extraction when batch evidence should be lifted upward	skills/workflow-scoped-execution/references/scripts/scripts__common__knowledge_gate.sh,skills/workflow-scoped-execution/references/scripts/scripts__common__tool_catalog.py,skills/workflow-scoped-execution/references/scripts/scripts__common__infra_stack_guard.py
eda-method-implementer	utility	0	0	utility	active	1.0.0	1.0.0	method_implementation;integration_contract;validation_handoff	git-version-control,delay-model-gate-evaluator	debug_validate_execution_contract_py	1	1	1	Implement methods from approved hypotheses with testable and reversible patches	skills/eda-method-implementer/references/scripts/scripts__debug__validate_execution_contract.py
eda-paper-fetch	domain	0	1	owner	active	1.0.0	1.0.0	paper_search;paper_download;evidence_collection	eda-pdf-local-summary	paper_kb_index	1	1	0	Fetches primary-source papers and local PDF artifacts when evidence is missing	skills/eda-paper-fetch/references/scripts/scripts__common__paper_kb_index.py
eda-pdf-local-summary	domain	0	1	owner	active	1.0.0	1.0.0	local_pdf_summary;evidence_extraction;paper_to_hypothesis_mapping		paper_kb_index	1	1	0	Summarizes local paper PDFs into structured evidence notes	skills/eda-pdf-local-summary/references/scripts/scripts__common__paper_kb_index.py
control-preflight-reflect	control	0	1	owner	active	1.2.0	1.0.0	preflight_diagnostics;hypothesis_ranking;ab_plan;experience_aware_reflection	bscost-net,bscost-theory-opt,eda-experiment-phenomenology-analyst	debug_pdk_flow_preflight_py	1	0	1	Pre-run diagnosis gate with explicit background-knowledge links and experiment-experience awareness so reflections are grounded in both theory and repeated local evidence	skills/control-preflight-reflect/references/scripts/scripts__debug__pdk_flow_preflight.py
workflow-research-chain	workflow	0	1	owner	active	1.2.0	1.0.0	research_chain;knowledge_to_validation;literature_idea_hypothesis_implementation;experience_capture	control-knowledge-explorer,eda-paper-fetch,eda-pdf-local-summary,eda-idea-debate-lab,eda-hypothesis-experiment-designer,eda-method-implementer,git-version-control,delay-model-gate-evaluator,eda-experiment-phenomenology-analyst,control-postrun-retro	common_init_research_chain_py,common_research_chain_guard_py	1	1	1	End-to-end research chain orchestrator from knowledge exploration to final decision, with explicit lift of validated experiment evidence into durable experience artifacts before retrospective reuse	skills/workflow-research-chain/references/scripts/scripts__common__init_research_chain.py,skills/workflow-research-chain/references/scripts/scripts__common__research_chain_guard.py
control-postrun-retro	control	0	1	owner	active	1.1.0	1.0.0	postrun_retrospective;mechanism_classification;recursion_decision;experience_consumption	workflow-scoped-execution,eda-experiment-phenomenology-analyst	debug_validate_execution_contract_py,common_experiment_memory_py	1	0	1	Post-run reflection and recursive go/no-go, consuming structured result/conclusion/experience evidence rather than owning the long-lived experiment experience registry	skills/control-postrun-retro/references/scripts/scripts__debug__validate_execution_contract.py,skills/control-postrun-retro/references/scripts/scripts__common__experiment_memory.py
conda-project-environment-manager	utility	0	0	utility	active	1.0.0	1.0.0	conda_env_management;package_availability;explicit_env_binding;project_python_roots	eda-infra-maintainer,eda-method-implementer	conda_project_env_report,tool_catalog	1	1	0	Utility skill for discovering project conda roots/envs, checking package availability, and standardizing explicit conda-run usage across workflows	skills/conda-project-environment-manager/references/scripts/scripts__common__conda_project_env_report.py,skills/conda-project-environment-manager/references/scripts/scripts__common__tool_catalog.py
eda-stage-checkpoint-golden	domain	0	1	owner	active	1.0.0	1.0.0	checkpoint_freeze;stage_resume;golden_manifest		debug_create_stage_golden_checkpoint_sh	1	1	1	Golden checkpoint and stage resume utility	skills/eda-stage-checkpoint-golden/references/scripts/scripts__debug__create_stage_golden_checkpoint.sh
eda-system-packager	utility	0	0	utility	active	1.0.0	1.0.0	infra_packaging;standalone_bundle;repo_export	eda-infra-maintainer,git-version-control	tool_catalog,infra_stack_guard,common_skill_system_audit_py	1	1	1	Build standalone agent+skill bundle and prep independent repo handoff.	skills/eda-system-packager/references/scripts/scripts__common__tool_catalog.py,skills/eda-system-packager/references/scripts/scripts__common__infra_stack_guard.py,skills/eda-system-packager/references/scripts/scripts__common__skill_system_audit.py
control-theory-veto	control	0	1	owner	active	1.2.0	1.0.0	theory_veto;proposal_sanity;risk_blocking;experience_informed_blocking	workflow-scoped-execution,eda-experiment-phenomenology-analyst,bscost-theory-opt,delay-model-gate-evaluator	debug_check_theory_veto_gate_py	1	0	1	Theory-based NO-GO gate before expensive or invalid runs, now explicitly allowed to consume repeated empirical experience patterns as veto input without owning the experience-maintenance workflow	skills/control-theory-veto/references/scripts/scripts__debug__check_theory_veto_gate.py
git-version-control	utility	0	1	owner	active	1.1.0	1.0.0	git_versioning;checkpointing;version_delta_documentation		git	0	1	0	Git-based version control workflow with per-version characteristics and distinguishing-point records; commit/traceability detail moved into references	
gt3-backside-route-policy	domain	0	1	owner	active	1.0.0	1.0.0	gt3_route_policy;layer_policy;submission_checks	eda-stage-checkpoint-golden	debug_auto_fix_layer_namespace_for_gt3_py,debug_pdk_flow_preflight_py	1	1	1	GT3/backside flow policy control	skills/gt3-backside-route-policy/references/scripts/scripts__debug__auto_fix_layer_namespace_for_gt3.py,skills/gt3-backside-route-policy/references/scripts/scripts__debug__pdk_flow_preflight.py
rtl-design-engineer	domain	0	1	owner	active	1.1.0	1.0.0	rtl_design;clean_testcase;macro_free_testcase;module_packaging	eda-method-implementer,git-version-control		1	0	0	Design or trim realistic synthesizable RTL into standalone macro-free testcase packages for downstream synthesis and P&R experiments; package/validation detail moved into references	
workflow-router	control	0	1	router	active	1.2.0	1.0.0	workflow_classification;skill_routing;request_pattern_routing;temporary_workflow;skill_creation_decision	eda-infra-maintainer,workflow-scoped-execution		1	0	0	Canonical routing owner for known-vs-unknown workflow judgment, request-pattern mapping, workflow-local skill shortlist construction, and new-skill decisions	
gt3-backside-net-selector	domain	0	1	owner	active	1.1.0	1.0.0	gt3_backside_selection;power_first_selection;targeted_backside_reroute	gt3-backside-route-policy,workflow-scoped-execution	debug_select_backside_nets_power_first_py,debug_select_backside_nets_cpp_sh,debug_screen_backside_delay_power_balance_py	1	1	1	Select backside candidate nets after placement/postCTS with power-first objective and timing-safety gate; policy and selector-argument detail moved into references	skills/gt3-backside-net-selector/references/scripts/scripts__debug__select_backside_nets_power_first.py,skills/gt3-backside-net-selector/references/scripts/scripts__debug__select_backside_nets_cpp.sh,skills/gt3-backside-net-selector/references/scripts/scripts__debug__screen_backside_delay_power_balance.py
